Filename:	D:\TGAdata\„∆√ŒœÈ\Ã∆–°º™\15%5mm.t6d

Temperature (°„C)	Weight % (%)
552.48	5.651
552.81	5.639
553.15	5.639
553.49	5.623
553.82	5.608
554.15	5.596
554.49	5.596
554.82	5.592
555.15	5.576
555.49	5.576
555.83	5.576
556.16	5.565
556.50	5.553
556.84	5.541
557.17	5.553
557.51	5.553
557.84	5.545
558.17	5.529
558.50	5.517
558.84	5.510
559.17	5.490
559.51	5.474
559.84	5.466
560.18	5.458
560.51	5.458
560.85	5.458
561.18	5.451
561.52	5.447
561.85	5.451
562.18	5.455
562.51	5.447
562.85	5.435
563.19	5.423
563.52	5.419
563.86	5.411
564.19	5.411
564.53	5.404
564.86	5.388
565.20	5.376
565.54	5.360
565.88	5.352
566.21	5.349
566.55	5.352
566.88	5.360
567.21	5.356
567.53	5.352
567.87	5.341
568.20	5.333
568.54	5.321
568.88	5.317
569.21	5.309
569.55	5.309
569.88	5.301
570.22	5.290
570.55	5.282
570.89	5.282
571.23	5.270
571.57	5.262
571.90	5.254
572.24	5.254
572.58	5.242
572.91	5.223
573.25	5.207
573.59	5.195
573.93	5.199
574.27	5.187
574.61	5.191
574.95	5.191
575.29	5.180
575.63	5.168
575.97	5.164
576.31	5.148
576.64	5.144
576.97	5.133
577.30	5.121
577.64	5.117
577.98	5.121
578.31	5.113
578.65	5.089
578.99	5.077
579.33	5.070
579.67	5.070
580.01	5.062
580.36	5.054
580.70	5.042
581.04	5.038
581.39	5.030
581.73	5.034
582.08	5.026
582.42	5.026
582.77	5.015
583.11	5.007
583.45	4.995
583.79	4.995
584.13	4.987
584.47	4.983
584.81	4.975
