Filename:	D:\TGAdata\ãÆÃÎÏé\ÌÆÐ¡¼ª\´¿PP.t6d

Temperature (¡ãC)	Weight % (%)
464.30	2.753
464.64	2.700
464.98	2.647
465.32	2.599
465.66	2.550
466.00	2.501
466.34	2.453
466.68	2.416
467.02	2.383
467.36	2.343
467.69	2.315
468.02	2.286
468.36	2.246
468.69	2.209
469.04	2.181
469.38	2.152
469.72	2.124
470.06	2.096
470.40	2.071
470.73	2.039
471.07	2.014
471.41	1.998
471.74	1.982
472.08	1.957
472.42	1.937
472.76	1.921
473.09	1.909
473.43	1.905
473.76	1.893
474.09	1.885
474.43	1.876
474.76	1.876
475.10	1.868
475.43	1.868
475.77	1.864
476.10	1.856
476.44	1.860
476.78	1.860
477.12	1.860
477.45	1.856
477.79	1.856
478.13	1.840
478.47	1.840
478.80	1.840
479.14	1.840
479.47	1.836
479.81	1.836
480.14	1.840
480.47	1.832
480.80	1.832
481.13	1.832
481.45	1.840
481.78	1.848
482.11	1.856
482.44	1.856
482.78	1.844
483.11	1.840
483.44	1.836
483.77	1.828
484.11	1.824
484.44	1.824
484.77	1.820
485.11	1.816
485.44	1.816
485.78	1.824
486.11	1.812
486.45	1.804
486.78	1.812
487.11	1.820
487.44	1.824
487.78	1.820
488.11	1.812
488.44	1.824
488.78	1.840
489.11	1.848
489.45	1.844
489.78	1.852
490.12	1.848
490.45	1.848
490.78	1.832
491.10	1.828
491.43	1.848
491.76	1.852
492.09	1.856
492.42	1.856
492.75	1.864
493.09	1.856
493.42	1.856
493.76	1.856
494.10	1.864
494.44	1.864
494.78	1.852
495.13	1.852
495.47	1.852
495.81	1.844
496.15	1.844
496.49	1.852
496.82	1.856
497.16	1.860
497.50	1.856
497.84	1.860
498.18	1.852
498.51	1.852
498.85	1.852
499.19	1.848
499.53	1.844
499.87	1.840
500.20	1.840
500.54	1.840
500.87	1.844
501.20	1.840
501.54	1.836
501.88	1.824
502.22	1.816
502.56	1.812
502.90	1.812
503.24	1.812
503.58	1.816
503.92	1.816
504.25	1.812
504.59	1.812
504.93	1.804
505.27	1.799
505.61	1.799
505.94	1.804
506.28	1.816
506.62	1.816
506.96	1.820
507.29	1.820
507.63	1.824
507.96	1.824
508.30	1.820
508.64	1.824
508.98	1.820
509.32	1.820
509.65	1.824
509.99	1.812
510.32	1.820
510.65	1.824
510.99	1.820
511.32	1.816
511.65	1.816
511.98	1.816
512.31	1.820
512.63	1.824
512.97	1.824
513.30	1.816
513.63	1.804
513.96	1.808
514.30	1.804
514.63	1.787
514.97	1.787
515.30	1.787
515.63	1.795
515.96	1.795
516.29	1.795
516.61	1.795
516.94	1.795
517.27	1.804
517.60	1.808
517.93	1.799
518.26	1.795
518.59	1.791
518.92	1.779
519.26	1.779
519.60	1.791
519.93	1.791
520.26	1.787
520.59	1.791
520.91	1.791
521.24	1.779
521.57	1.775
521.91	1.771
522.24	1.767
522.58	1.759
522.91	1.763
523.24	1.751
523.57	1.751
523.89	1.755
524.23	1.763
524.56	1.767
524.90	1.783
525.24	1.779
525.57	1.775
525.90	1.787
526.23	1.783
526.56	1.783
526.88	1.787
527.21	1.791
527.54	1.779
527.86	1.779
528.19	1.771
528.52	1.767
528.85	1.779
529.18	1.783
529.52	1.783
529.85	1.787
530.18	1.783
530.51	1.779
530.85	1.787
531.18	1.783
531.51	1.783
531.84	1.787
532.17	1.783
532.50	1.787
532.83	1.779
533.17	1.779
533.51	1.783
533.86	1.771
534.20	1.771
534.53	1.775
534.85	1.779
535.18	1.787
535.51	1.783
535.84	1.783
536.17	1.779
536.51	1.771
536.85	1.759
537.18	1.755
537.51	1.759
537.84	1.763
538.17	1.763
538.50	1.763
538.84	1.763
539.18	1.767
539.51	1.767
539.85	1.759
540.18	1.763
540.51	1.775
540.83	1.783
541.16	1.795
541.49	1.795
541.82	1.791
542.16	1.795
542.49	1.791
542.82	1.787
543.15	1.775
543.48	1.787
543.81	1.779
544.14	1.783
544.47	1.795
544.81	1.795
545.14	1.791
545.47	1.787
545.81	1.795
546.14	1.804
546.47	1.804
546.80	1.804
547.14	1.804
547.48	1.812
547.81	1.804
548.14	1.795
548.47	1.787
548.80	1.787
549.12	1.783
549.46	1.787
549.79	1.783
550.12	1.783
550.46	1.775
550.79	1.779
551.13	1.791
551.47	1.779
551.81	1.771
552.14	1.771
552.48	1.767
552.82	1.767
553.15	1.771
553.48	1.775
553.81	1.783
554.14	1.779
554.48	1.775
554.82	1.775
555.15	1.767
555.49	1.755
555.83	1.755
556.16	1.747
556.50	1.747
556.83	1.747
557.16	1.743
557.50	1.743
557.83	1.747
558.17	1.759
558.50	1.763
558.84	1.767
559.17	1.771
559.51	1.771
559.85	1.775
560.19	1.783
560.53	1.787
560.87	1.787
561.21	1.779
561.54	1.775
561.88	1.771
562.21	1.771
562.53	1.767
562.86	1.755
563.19	1.755
563.52	1.759
563.86	1.763
564.19	1.763
564.53	1.763
564.86	1.755
565.19	1.751
565.53	1.751
565.87	1.743
566.21	1.734
566.55	1.734
566.89	1.734
567.23	1.726
567.56	1.726
567.89	1.739
568.22	1.751
568.55	1.755
568.88	1.751
569.21	1.734
569.53	1.734
569.86	1.743
570.19	1.751
570.52	1.751
570.86	1.747
571.20	1.747
571.54	1.747
571.88	1.743
572.21	1.739
572.55	1.743
572.89	1.747
573.24	1.739
573.58	1.743
573.93	1.743
574.26	1.743
574.60	1.747
574.93	1.747
575.25	1.747
575.58	1.755
575.91	1.751
576.24	1.747
576.58	1.747
576.92	1.743
577.26	1.730
577.60	1.718
577.93	1.714
578.26	1.722
578.59	1.730
578.93	1.722
579.26	1.726
579.61	1.718
579.95	1.718
580.29	1.722
580.63	1.726
580.97	1.730
581.30	1.734
581.64	1.726
582.00	1.726
582.35	1.734
582.70	1.739
583.05	1.739
583.40	1.734
583.75	1.734
584.09	1.730
584.43	1.726
584.76	1.722
