Filename:	D:\TGAdata\„∆√ŒœÈ\20150506\20%5mm.pdid

Temperature (°„C)	Heat Flow Endo Up (mW)
31.96	3.6192
31.98	3.6198
32.00	3.6203
32.02	3.6209
32.03	3.6214
32.05	3.6219
32.07	3.6222
32.09	3.6226
32.10	3.6228
32.12	3.6232
32.13	3.6237
32.15	3.6241
32.17	3.6245
32.18	3.6248
32.20	3.6251
32.22	3.6254
32.23	3.6259
32.24	3.6265
32.26	3.6269
32.28	3.6278
32.30	3.6284
32.31	3.6290
32.33	3.6295
32.34	3.6301
32.36	3.6307
32.38	3.6311
32.39	3.6314
32.41	3.6318
32.43	3.6322
32.45	3.6325
32.46	3.6328
32.48	3.6333
32.49	3.6339
32.52	3.6341
32.53	3.6347
32.55	3.6352
32.57	3.6356
32.58	3.6361
32.60	3.6367
32.62	3.6371
32.63	3.6377
32.65	3.6384
32.67	3.6390
32.68	3.6396
32.70	3.6402
32.71	3.6405
32.73	3.6409
32.74	3.6413
32.76	3.6417
32.77	3.6423
32.79	3.6426
32.81	3.6431
32.83	3.6433
32.85	3.6439
32.87	3.6441
32.88	3.6445
32.89	3.6448
32.91	3.6452
32.93	3.6455
32.95	3.6460
32.96	3.6467
32.98	3.6471
33.00	3.6478
33.02	3.6484
33.03	3.6490
33.05	3.6495
33.06	3.6501
33.08	3.6506
33.09	3.6508
33.11	3.6510
33.13	3.6514
33.15	3.6518
33.16	3.6521
33.18	3.6524
33.20	3.6528
33.20	3.6534
33.23	3.6538
33.24	3.6541
33.26	3.6546
33.27	3.6552
33.30	3.6558
33.31	3.6565
33.33	3.6571
33.34	3.6577
33.36	3.6584
33.38	3.6589
33.40	3.6594
33.41	3.6597
33.43	3.6601
33.45	3.6608
33.46	3.6610
33.48	3.6615
33.49	3.6617
33.51	3.6622
33.52	3.6627
33.55	3.6631
33.57	3.6635
33.58	3.6639
33.59	3.6643
33.61	3.6646
33.63	3.6650
33.65	3.6656
33.66	3.6663
33.68	3.6671
33.70	3.6676
33.71	3.6684
33.73	3.6691
33.74	3.6697
33.76	3.6702
33.77	3.6706
33.79	3.6709
33.81	3.6713
33.83	3.6718
33.84	3.6722
33.86	3.6726
33.88	3.6730
33.90	3.6737
33.91	3.6743
33.93	3.6750
33.95	3.6755
33.96	3.6760
33.98	3.6765
33.99	3.6768
34.00	3.6774
34.02	3.6778
34.04	3.6785
34.06	3.6792
34.08	3.6797
34.09	3.6804
34.11	3.6809
34.13	3.6817
34.15	3.6821
34.16	3.6827
34.18	3.6831
34.20	3.6836
34.21	3.6840
34.23	3.6843
34.24	3.6849
34.26	3.6851
34.27	3.6854
34.29	3.6857
34.31	3.6862
34.33	3.6866
34.34	3.6871
34.36	3.6876
34.38	3.6882
34.39	3.6888
34.40	3.6895
34.43	3.6900
34.44	3.6904
34.46	3.6911
34.49	3.6917
34.50	3.6922
34.51	3.6928
34.52	3.6931
34.54	3.6932
34.56	3.6937
34.58	3.6941
34.59	3.6945
34.61	3.6951
34.63	3.6954
34.64	3.6958
34.66	3.6963
34.68	3.6965
34.69	3.6972
34.71	3.6977
34.72	3.6982
