Filename:	D:\TGAdata\„∆√ŒœÈ\20150506\chunPP.pdid

Temperature (°„C)	Heat Flow Endo Up (mW)
28.49	3.6737
28.51	3.6742
28.53	3.6747
28.55	3.6754
28.56	3.6759
28.58	3.6763
28.59	3.6766
28.61	3.6771
28.63	3.6777
28.65	3.6784
28.66	3.6791
28.68	3.6798
28.70	3.6803
28.71	3.6808
28.73	3.6814
28.74	3.6818
28.76	3.6825
28.78	3.6828
28.80	3.6833
28.81	3.6839
28.83	3.6843
28.84	3.6847
28.86	3.6850
28.88	3.6854
28.89	3.6856
28.91	3.6859
28.93	3.6863
28.95	3.6867
28.96	3.6873
28.98	3.6877
29.00	3.6882
29.01	3.6891
29.03	3.6899
29.04	3.6907
29.06	3.6916
29.08	3.6921
29.09	3.6928
29.11	3.6932
29.13	3.6937
29.15	3.6941
29.16	3.6945
29.18	3.6951
29.20	3.6955
29.21	3.6959
29.23	3.6961
29.25	3.6964
29.26	3.6968
29.28	3.6974
29.29	3.6978
29.31	3.6985
29.32	3.6988
29.34	3.6993
29.36	3.6999
29.38	3.7005
29.40	3.7009
29.41	3.7016
29.42	3.7021
29.44	3.7027
29.46	3.7033
29.48	3.7038
29.49	3.7043
29.51	3.7045
29.53	3.7049
29.54	3.7053
29.56	3.7058
29.57	3.7063
29.59	3.7066
29.61	3.7070
29.63	3.7074
29.64	3.7078
29.66	3.7082
29.68	3.7085
29.70	3.7089
29.71	3.7091
29.73	3.7096
29.75	3.7103
29.76	3.7109
29.78	3.7113
29.80	3.7119
29.81	3.7125
29.82	3.7128
29.84	3.7133
29.86	3.7138
29.88	3.7142
29.90	3.7147
29.91	3.7152
29.93	3.7157
29.94	3.7160
29.96	3.7164
29.98	3.7168
29.99	3.7172
30.01	3.7176
30.03	3.7181
30.04	3.7184
30.06	3.7184
30.08	3.7191
30.09	3.7197
30.11	3.7202
30.13	3.7209
30.14	3.7216
30.16	3.7223
30.18	3.7229
30.19	3.7235
30.22	3.7240
30.23	3.7243
30.25	3.7248
30.27	3.7252
30.28	3.7256
30.30	3.7259
30.31	3.7264
30.33	3.7268
30.34	3.7273
30.36	3.7275
30.37	3.7278
30.39	3.7282
30.41	3.7286
30.43	3.7290
30.44	3.7295
30.45	3.7301
30.47	3.7308
30.49	3.7312
30.51	3.7317
30.53	3.7322
30.55	3.7329
30.56	3.7334
30.57	3.7339
30.59	3.7344
30.61	3.7347
30.63	3.7350
30.65	3.7352
30.66	3.7356
30.68	3.7360
30.69	3.7363
30.71	3.7368
30.73	3.7369
30.74	3.7373
30.76	3.7377
30.78	3.7381
30.80	3.7388
30.81	3.7393
30.82	3.7400
30.85	3.7407
30.86	3.7413
30.88	3.7416
30.89	3.7421
30.91	3.7426
30.93	3.7430
30.95	3.7436
30.96	3.7440
30.98	3.7442
31.00	3.7446
31.01	3.7452
31.03	3.7455
31.04	3.7461
31.06	3.7463
31.08	3.7467
31.09	3.7472
31.10	3.7473
31.13	3.7479
31.14	3.7486
31.16	3.7493
31.18	3.7499
31.19	3.7505
31.21	3.7511
31.23	3.7517
31.24	3.7523
31.26	3.7528
31.28	3.7533
31.30	3.7538
31.31	3.7544
31.32	3.7548
31.34	3.7554
31.36	3.7560
31.38	3.7564
31.39	3.7568
31.41	3.7570
31.43	3.7573
31.45	3.7578
31.46	3.7582
31.48	3.7587
31.50	3.7591
31.51	3.7600
31.53	3.7608
31.54	3.7615
31.56	3.7621
31.57	3.7629
31.59	3.7633
31.61	3.7640
31.62	3.7645
31.64	3.7649
31.65	3.7652
31.68	3.7656
31.69	3.7661
31.70	3.7663
31.73	3.7665
31.74	3.7669
31.76	3.7673
31.78	3.7677
31.79	3.7682
31.81	3.7685
31.82	3.7690
31.84	3.7696
31.85	3.7701
31.87	3.7704
31.89	3.7709
31.91	3.7715
31.93	3.7719
31.94	3.7725
31.96	3.7729
31.98	3.7733
32.00	3.7741
32.01	3.7745
32.02	3.7750
32.04	3.7755
32.06	3.7760
32.08	3.7762
32.09	3.7765
32.11	3.7771
32.13	3.7774
32.14	3.7780
32.16	3.7783
32.17	3.7787
32.19	3.7791
32.21	3.7796
32.23	3.7802
32.24	3.7810
32.26	3.7815
32.27	3.7821
32.29	3.7825
32.30	3.7834
32.32	3.7837
32.34	3.7842
32.36	3.7848
32.37	3.7852
32.39	3.7856
32.40	3.7860
32.42	3.7862
32.44	3.7864
32.45	3.7870
32.48	3.7872
32.49	3.7876
32.50	3.7878
32.52	3.7880
32.54	3.7884
32.55	3.7890
32.57	3.7896
32.58	3.7902
32.61	3.7905
32.62	3.7911
32.64	3.7917
32.65	3.7923
32.67	3.7929
32.69	3.7932
32.70	3.7936
32.73	3.7937
32.74	3.7941
32.75	3.7944
32.77	3.7946
32.79	3.7952
32.80	3.7955
32.83	3.7960
32.84	3.7964
32.86	3.7966
32.88	3.7970
32.89	3.7976
32.91	3.7978
32.92	3.7984
32.94	3.7990
32.95	3.7997
32.97	3.8006
32.99	3.8012
33.00	3.8018
33.02	3.8022
33.04	3.8027
33.06	3.8030
33.07	3.8035
33.09	3.8038
33.10	3.8043
33.12	3.8049
33.14	3.8052
33.16	3.8056
33.17	3.8060
33.19	3.8066
33.20	3.8069
33.22	3.8072
33.24	3.8075
33.25	3.8077
33.27	3.8085
33.28	3.8091
33.30	3.8097
33.32	3.8103
33.34	3.8110
33.36	3.8116
33.38	3.8120
33.39	3.8123
33.41	3.8128
33.42	3.8133
33.44	3.8138
33.45	3.8142
33.47	3.8147
33.49	3.8152
33.50	3.8155
33.52	3.8159
33.54	3.8163
33.55	3.8165
33.57	3.8170
33.59	3.8175
33.60	3.8180
33.62	3.8186
33.64	3.8193
33.65	3.8199
33.67	3.8206
33.69	3.8211
33.70	3.8215
33.72	3.8219
33.74	3.8223
33.75	3.8227
33.77	3.8233
33.79	3.8240
33.80	3.8244
33.82	3.8250
33.84	3.8254
33.85	3.8260
33.87	3.8264
33.88	3.8268
33.90	3.8271
33.92	3.8274
33.94	3.8280
33.95	3.8284
33.97	3.8288
33.99	3.8295
34.00	3.8300
34.02	3.8307
34.04	3.8312
34.05	3.8316
34.07	3.8320
34.09	3.8326
34.10	3.8330
34.12	3.8335
34.14	3.8340
34.15	3.8343
34.17	3.8348
34.18	3.8352
34.20	3.8356
34.22	3.8361
34.23	3.8365
34.25	3.8370
34.27	3.8373
34.28	3.8379
34.30	3.8385
34.32	3.8391
34.33	3.8397
34.35	3.8405
34.37	3.8413
34.38	3.8421
34.40	3.8428
34.42	3.8436
34.44	3.8445
34.45	3.8449
34.47	3.8455
34.48	3.8462
34.50	3.8467
34.52	3.8470
34.54	3.8473
34.56	3.8477
34.58	3.8480
34.59	3.8482
34.60	3.8486
34.62	3.8487
34.64	3.8491
34.65	3.8495
34.67	3.8497
34.69	3.8503
34.70	3.8507
34.72	3.8510
34.74	3.8516
34.75	3.8520
34.76	3.8523
34.78	3.8529
